CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
CHARLENE,19886,I'VE NEVER BEEN TO ME ,Hey lady you lady cursin at your life,INT10C
CHARLES AND EDDIE,9198,WOULD I LIE TO YOU? ,No no no... baby hum…,EUA
CHARLIE BROWN JR,16676,O CORO VAI COME ,Corra pra ver o que acontece 32B,@@
CHARLIE BROWN JR.,1520,SÓ OS LOUCOS SABEM ,Agora eu sei exatamente o que fazer,IMP 18
CHARLIE BROWN JR.,2846,CÉU AZUL ,Tão natural quanto a luz do dia 22B,@@
CHARLIE BROWN JR.,4291,PROIBIDA PRA MIM ,Ela achou o meu cabelo engraçado...,BRA
CHARLIE BROWN JR.,6378,LUGAR AO SOL ,Que bom viver como é bom sonhar...,BRA
CHARLIE BROWN JR.,6814,CHAMPAGNE E ÁGUA BENTA ,Atitude a gente tem sorte a gente,BRA
CHARLIE BROWN JR.,7255,TE LEVAR ,Tive pensando em me mudar,BRA
CHARLIE BROWN JR.,7376,LUTAR PELO QUE É MEU ,Agente passa a entender,BRA
CHARLIE BROWN JR.,7591,ELA VAI VOLTAR ,Minha mente nem sempre tão lúcida,IMP 11
CHARLIE BROWN JR.,7698,SENHOR DO TEMPO ,Eu não sou senhor do tempo,IMP 11
CHARLIE BROWN JR.,7944,"DIAS DE LUTA, DIAS DE GLÓRIA ",Canto minha vida com orgulho,IMP 12
CHARLIE BROWN JR.,9515,PONTES INDESTRUTÍVEIS ,Buscando um novo rumo,IMP 13
CHARLIE BROWN JR.,15256,MEU NOVO MUNDO ,Como se o silêncio dissesse tudo imp 24,@@
CHARLIE BROWN JR.,15597,UM DIA A GENTE SE ENCONTRA ,Um dia na praia a gente jurou ficar junto,IMP26
CHARLIE BROWN JR.,16108,QUINTA-FEIRA ,Ainda me lembro bem daquela quinta-feira 29D,@@
CHARLIE BROWN JR.,16218,COMO TUDO DEVE SER ,Um belo sonho veio então despertar 30C,@@
CHARLIE BROWN JR.,16277,TUDO QUE ELA GOSTA DE ESCUTAR ,Essa é uma história de amargar,30D
CHARLIE BROWN JR.,16387,ME ENCONTRA ,Hoje eu vou sair para encontrar o amor 31C,@@
CHARLIE BROWN JR.,16917,SÓ POR UMA NOITE ,Eu procurei em outros corpos encontrar você 34D,@@
CHARLIE BROWN JR.,17144,CONFISCO ,Dez horas da manhã a campainha tocou36D,@@
CHARLIE BROWN JR.,17170,VÍCIOS E VIRTUDES ,Nem tudo lhe cai bem 36F,@@
CHARLIE BROWN JR.,17726,UMA CRIANCA COM SEU OLHAR ,Aqui estou na dificil missão de levar a voce 40A,@@
CHARLIE BROWN JR.,17786,TAMO AÍ NA ATIVIDADE ,Eu nasci pobre mas não nasci otário40G,@@
CHARLIE BROWN JR. - NEGRA LI,15074,NÃO É SÉRIO ,Eu vejo na,TV o que eles falam sobre o jovem não é sério IMP 23
CHARLIE PUTH,19812,ATTENTION ,You've been runnin' round runnin' round,INT10A
CHARLIE PUTH,20586,LOSER ,Oh I´m such a loser how´d I ever loser her,INT14Q
CHARLIE PUTH - JUNG KOOK,20544,LEFT AND RIGHT ,Memories follow me left and right,INT14L
CHARLIE PUTH - SELENA GOMEZ,20209,WE DON'T TALK ANYMORE ,We don't talk anymore,INT12C
CHAY SUEDE,15393,PAPEL ,Descobri sentando perto dela a moça,IMP 25
CHAYENE,15099,VOA VOA BRABULETA (XOTE DA ,Ela gosta de ficar pegando fogo,IMP 23
CHEIRO DE AMOR,1074,DIAS DE SO,Ldias de sol,IMP 15
CHEIRO DE AMOR - PABLO,15563,AMOR DE SOBREMESA ,Eu vou estar aqui quando você voltar,IMP26
CHELSIA CHAN,4629,GRADUATION TEARS ,And now is the time to say goodbye,EUA
CHER,4865,BELIEVE ,"After love, after love After love, afte",USA
CHER,4969,STRONG ENOUGH ,Idon't need your sympathy,USA
CHERYL LYNN,19819,GOT TO BE REAL ,What you find ah what you feel now,INT10A
CHERYL LYNN,20223,GO TO BE REAL ,What you find ah,INT12C
CHICABANA,1381,EU QUERO SÓ VOC,Êô ô ô ô ô ô ô ô ô ô ô ô ô ô ô ô ô,IMP17
CHICAGO,2560,YOU’RE THE INSPIRATION ,You know our love was meant to be,EUA 4
CHICAGO,4619,COLOUR MY WORLD ,As time goes on realize just want,EUA
CHICAGO,4631,IF YOU LEAVE NOW ,If you leave me now you'll take way,EUA
CHICAGO,4641,MAKE ME SMILE ,Children play in the park they don't,EUA
CHICAGO,9222,HARD FOR ME TO SAY I'M SORRY ,Ev'rybody needs a little time away...,USA 3
CHICAGO,20183,HAPPY MAN ,Merely by chance very unsuspecting,INT12B
CHICAGO,20531,BABY WHAT A BIG SURPRISE ,Right before my very eyes,INT14K
CHICAS,1143,CARAS E BOCA,Spra que conteúdo se a casca,IMP 15
CHICLETE COM BANANA,1010,FLUTUA,Rpor isso vem cá me traz o,IMP 15
CHICLETE COM BANANA,1684,CHORAREI AMOR ,Já nem lembro de ti já nem sinto,IMP19
CHICLETE COM BANANA,3372,ME PEGUE SE QUISER ,Me pegue se quiser e leve se puder ôh,BRA
CHICLETE COM BANANA,6812,CEM POR CENTO VOCÊ ,Lê lê... Um céu sem estrelas,BRA
CHICLETE COM BANANA,6963,PERFUME DE LUAR ,Quando te vejo desperta o desejo…,BRA
CHICLETE COM BANANA,7105,DIGA QUE VALEU ,Um beijo em você eu quero dar,BRA
CHICLETE COM BANANA,7191,NÃO VOU CHORAR ,Por que será que tem que ser assim,BRA
CHICLETE COM BANANA,7586,DIGA PRA MIM ,Tere tets te tere tets te te oba,IMP 11
CHICLETE COM BANANA,7687,QUERO CHICLETE ,Chiclete chiclete quero chiclete chiclet,IMP 11
CHICLETE COM BANANA,7728,"VOA, VOA ",Pa êh ôh para rara rarara êh ôh,IMP 11
CHICLETE COM BANANA,9453,EU QUERO ESSE AMOR ,Eu vou voar atrás desse amor,IMP 13
CHICLETE COM BANANA,9517,POSSO SENTIR ,Posso sentir chego a tocar na sua mão,IMP 13
CHICLETE COM BANANA,9577,A FILA ANDOU ,Nananá nana nananá nananá nana nana,IMP 14
CHICLETE COM BANANA,16038,SELVA BRANCA ,Pra te espiar eu dou a volta no seu muro 29B,@@
CHICO BUARQUE,1167,GOTA D'ÁGU,Ajá lhe dei meu corpo,IMP 16
CHICO BUARQUE,1284,BRISA DO MA,Rbrisa do mar,IMP 16
CHICO BUARQUE,1291,HOMENAGEM AO MALANDR,Oeu fui fazer um samba em homenagem,IMP 16
CHICO BUARQUE,1617,OLÊ OLÁ ,Não chore ainda não,IMP 18
CHICO BUARQUE,1725,FUTUROS AMANTES ,Não se afobe não que nada é pra já,IMP19
CHICO BUARQUE,3191,O QUE SERÁ ,Oque será que será,BRA
CHICO BUARQUE,3276,TROCANDO EM MIÚDOS ,Eu vou lhe deixar a medida do Bonfim,BRA
CHICO BUARQUE,3455,APESAR DE VOCÊ ,Amanhã vai ser outro dia,BRA
CHICO BUARQUE,3917,GENTE HUMILDE ,Tem certos dias em que eu penso em,BRA
CHICO BUARQUE,4416,VAI PASSAR ,Vai passar nessa avenida...,BRA
CHICO BUARQUE,6433,RODA VIVA ,Tem dias que a gente se sente....,BRA
CHICO BUARQUE,6721,A VOLTA DO MALANDRO ,Eis o malandro na praça outra vez...,BRA
CHICO BUARQUE,6766,BYE BYE BRASIL ,Oi coração...,BRA
CHICO BUARQUE,6872,"QUEM TE VIU, QUEM TE VÊ ",Você era a mais bonita das cabrochas,BRA
CHICO BUARQUE,7907,AS VITRINES ,Eu te vejo sumir por aí,IMP 12
CHICO BUARQUE,9630,CAROLINA ,Carolina,IMP 14
CHICO BUARQUE,9656,DESALENTO ,Sim vai e diz,IMP 14
CHICO BUARQUE,9678,EU TE AMO ,Ah se já perdemos a noção da hora,IMP 14
CHICO BUARQUE,9842,MORENA DOS OLHOS D'ÁGUA ,Morena dos olhos d'água,IMP 14
CHICO BUARQUE,15029,CIRANDA DA BAILARINA ,Procurando bem todo mundo tem pereba,IMP 23
CHICO BUARQUE,15039,RETRATO EM BRANCO E PRETO ,Já conheço os passos dessa estrada,IMP 23
CHICO BUARQUE,15050,GENI E O ZEPELIM ,De tudo que é nego torto do mangue e do cais,IMP 23
CHICO BUARQUE,15098,VALSINHA ,Um dia ele chegou tão diferente,IMP 23
CHICO BUARQUE,15274,TERESINHA ,Oprimeiro me chegou como quem vem do florista imp 24,@@
CHICO BUARQUE,15932,CONSTRUÇÃO ,Amou daquela vez como se fosse a última,IMP28
CHICO BUARQUE,1054,O CADERNO INF,,INF
CHICO BUARQUE,15023,ARITA ARIT,Alevou meu sorriso no sorriso dela,IMP 2321
CHICO BUARQUE - ELIS REGINA,1923,NOITE DOS MASCARADOS ,Quem é você,IMP20
CHICO BUARQUE E ELZA SOARES,1288,FAÇAMOS (VAMOS AMAR,)os cidadãos no japão fazem,IMP 16
CHICO BUARQUE E LUISA BUARQUE,9636,CEM MIL RÉIS ,Você me pediu cem mil réis,IMP 14
CHICO BUARQUE E MARIA BETHÂNIA CHICO BUARQUE E MILTON,6592,SEM FANTASIA ,Vem meu menino vadio vem sem mentir…,BRA
CHICO BUARQUE E MPB4,1541,AMIGO É PRA ESSAS COISAS ,Salve... como é que vai,IMP 18
"CHICO BUARQUE, MIÚCHA E TOM CHICO BUARQUE E NARA LEÃO",4319,JOÃO E MARIA ,Agora eu era o herói...,BRA
CHICO CHICO,17526,RIBANCEIRA ,Beira ribanceira aguaceiro será,IMP 38
