CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
Adriana Calcanhoto,4160,MAIS FELIZ,O nosso amor não vai parar ...
Adriana Calcanhoto,1297,MARESIA,Meu amor me deixou levou minha
Adriana Calcanhoto,4161,MENTIRAS,Nada ficou no lugar ...
Adriana Calcanhoto,2798,METADE,Eu perco o chão eu não acho ...
Adriana Calcanhoto,9846,MULHER SEM RAZÃO,Saia dessa vida de migalhas desses homens
Adriana Calcanhoto,7648,NAQUELA ESTAÇÃO,Você entrou no trem e eu na estação vendo
Adriana Calcanhoto,7661,OUTRA VEZ,Outra vez sem você outra vez sem amor
Adriana Calcanhoto,7668,PELOS ARES,Não lhe peço nada mas se acaso você
Adriana Calcanhoto,1119,SEU PENSAMENTO,A uma hora dessas por onde estará seu
Adriana Calcanhoto,4138,VAMBORA,Entre por essa porta agora
Adriana Marques,2408,AMOR PERFEITO,O vento sopra e leva a solidão...
Adryana e a Rapaziada,6121,AMOR PRA VALER,Já faz tanto tempo não consigo esquecer
Adryana e a Rapaziada,6294,EU TE AMO (AND I LOVE HER),Foi tanto que eu te amei e não
Adryana e a Rapaziada,6257,FIM DE NOITE,Você nunca vai me ver sofrer não consegue me
Adryana e a Rapaziada,4458,SÓ FALTAVA VOCÊ,Só faltava você pra completar
Adryana Ribeiro,3789,E AGORA?,E agora como é que eu vou ficar
Adryana Ribeiro,1490,SAUDADE VEM,O que é que você foi fazer ...
Adryana Ribeiro-Luiz Carlos,3390,SEMPRE SOU EU,É... mais uma vez estou chorando
Afrodisíaco,7621,JA É,Ôh ôh ôh... Incendeia ôh ôh... Clareia
Afrodite se Quiser,1434,O QUE QUE ELA TEM QUE EU,Não adianta por mais que eu tente
Agepê,7328,DE AMOR É BOM,Um lindo canto com um gosto de viver
Agepê,7332,DE TODAS AS FORMAS,Me dê a posse do teu corpo ...
Agepê,6454,DEIXA EU TE AMAR,Quero ir na fonte do teu ser e banhar
Agepê,1455,LÁ VEM O TREM,Lá vem o trem no passo que o vento vem
Agepê,7381,ME LEVA,Tudo nasceu de brincadeira ...
Agepê,6938,MENINA DE CABELOS,Ê ê ê... menina de cabelos ...
Agepê,3883,MOÇA CRIANÇA,O seu andar tem jeito de moça...
Agepê,3848,MORO ONDE NÃO MORA,"Moro, onde não mora ninguém"
Agepê,1535,NINGUÉM FAZ AMOR COMO,Se eu perdi a hora não se zangue comigo
Aggeu Marques,15178,MÁQUINA DO TEMPO,Finjo não saber que o tempo passa logo
Agnaldo Rayol,3737,A PRAIA,Em plena praia no céu azul ...
Agnaldo Rayol,15521,ACORRENTADOS,Talvez fosse melhor se não ...
Agnaldo Rayol,3739,AMIGOS PARA SEMPRE,Eu não tenho nada pra dizer
Agnaldo Rayol,6362,AVE MARIA NO MORRO,Barracão de zinco sem telhado sem pintura
Agnaldo Rayol,15853,NÃO VOLTO MAIS,Se você quiser saber amor vou cuidar de mim
Agnaldo Rayol,6303,O PRINCÍPIO E O FIM,A minha vida em carinhos darei por toda uma
Agnaldo Timóteo,7282,A CASA DE IRENE,Os dias tristes são como longa rua
Agnaldo Timóteo,7283,A CASA DO SOL NASCENTE,A casa dos meus sonhos é feita de ilusão
Agnaldo Timóteo,7287,A GALERIA DO AMOR,Numa noite de insônia saí procurando emoções
Agnaldo Timóteo,6884,A NOIVA,Ave Maria... Branca e radiante vai a noiva
Agnaldo Timóteo,17146,ETIQUETAS,Vem me faz feliz por um momento apenas
Agnaldo Timóteo,7166,LIVRE,Livre... Livre nasci como a brisa que as praias
Agnaldo Timóteo,1688,MAMÃE ESTOU TÃO FELIZ,Mamãe estou tão feliz porque voltei
Agnaldo Timóteo,4399,MEU GRITO,Se eu demoro mais aqui eu vou morrer
Agnaldo Timóteo,6947,NÃO MEREÇO VOCÊ,Não mereço você sei que vou me afasta
Agnaldo Timóteo,6959,OS BRUTOS TAMBÉM AMAM,Você jamais vai entender o amor que e
Agnaldo Timóteo,6503,OS VERDES CAMPOS DA,Se algum dia à minha terra eu voltar
Agnaldo Timóteo,4370,QUEM É,Quem é que não sofre por alguém
Agnela,1150,PODIA SER,Não sei porque você não quis ligar
Agostinho dos Santos,4221,A FELICIDADE,Tristeza não tem fim felicidade
Agostinho dos Santos,7301,AQUELES OLHOS VERDES,Aqueles olhos verdes translúcidos...
Agostinho dos Santos,9695,MANHÃ DE CARNAVAL,Manhã tão bonita manhã na vida uma nova
Agridoce (Pitty),15202,130 ANOS,Caro é transformar-se num arremendo de si próprio
Agridoce (Pitty),2792,DANÇANDO,Eu sei que lá no fundo ...
Aguinaldo Timóteo,15621,QUEM SERÁ?,Amor só se dá se amor se ganha também
Akundum,3563,EMACONHADA,Kaya erva danada... É reggae sim se é reggae
Alan e Aladim,16652,DOIS PASSARINHOS,No instante em que voce me beija
